timestamp,open,high,low,close,volume
2020-01-01,100.0,100.423,99.9856,100.4085,352738.0
2020-01-02,100.4085,100.7871,98.7514,99.1251,344607.0
2020-01-03,99.1251,101.3706,97.8574,100.0906,751675.0
2020-01-06,100.0906,103.9228,97.5071,101.3078,504900.0
2020-01-07,101.3078,103.5864,96.6478,98.8715,406487.0
2020-01-08,98.8715,100.2867,95.8934,97.2858,540088.0
2020-01-09,97.2858,98.5966,96.1572,97.4659,190446.0
2020-01-10,97.4659,98.5158,96.0554,97.1014,434846.0
2020-01-13,97.1014,97.8865,96.3189,97.104,983631.0
2020-01-14,97.104,97.6454,95.5531,96.0888,466465.0
2020-01-15,96.0888,98.7126,94.576,97.1825,454596.0
2020-01-16,97.1825,98.9486,96.4046,98.1629,550868.0
2020-01-17,98.1629,99.1841,97.2477,98.268,633010.0
2020-01-20,98.268,100.4972,97.4794,99.6972,198991.0
2020-01-21,99.6972,100.7408,99.2692,100.3101,225724.0
2020-01-22,100.3101,102.5642,97.0232,99.2536,481238.0
2020-01-23,99.2536,99.8446,99.149,99.7395,332385.0
2020-01-24,99.7395,100.4384,97.8746,98.5653,747740.0
2020-01-27,98.5653,101.2933,96.976,99.686,390011.0
2020-01-28,99.686,101.7982,97.5356,99.647,204064.0
2020-01-29,99.647,101.8176,97.2728,99.4389,266411.0
2020-01-30,99.4389,101.1417,96.9242,98.6129,147286.0
2020-01-31,98.6129,100.4895,98.2958,100.1674,402862.0
2020-02-03,100.1674,101.8719,98.2948,99.9964,410301.0
2020-02-04,99.9964,100.0116,99.4668,99.4819,373329.0
2020-02-05,99.4819,99.7361,98.812,99.0651,681159.0
2020-02-06,99.0651,101.1298,97.7004,99.7555,714550.0
2020-02-07,99.7555,100.7411,99.2565,100.2397,413265.0
2020-02-10,100.2397,100.863,100.1634,100.7863,188362.0
2020-02-11,100.7863,103.0224,99.1322,101.359,566319.0
2020-02-12,101.359,104.2231,101.2936,104.1559,552464.0
2020-02-13,104.1559,104.2605,103.5445,103.6486,500697.0
2020-02-14,103.6486,105.9959,100.6736,103.0064,655132.0
2020-02-17,103.0064,104.1668,100.831,101.9799,277637.0
2020-02-18,101.9799,102.8138,101.9652,102.7989,988063.0
2020-02-19,102.7989,104.6233,102.4767,104.2964,301411.0
2020-02-20,104.2964,104.3545,104.1135,104.1716,597010.0
2020-02-21,104.1716,104.4379,102.8357,103.0993,225271.0
2020-02-24,103.0993,104.5053,100.6664,102.0582,304947.0
2020-02-25,102.0582,103.1185,101.8639,102.9227,811425.0
2020-02-26,102.9227,104.8925,101.9552,103.9157,398571.0
2020-02-27,103.9157,106.3027,102.2788,104.6542,619067.0
2020-02-28,104.6542,105.3282,103.1365,103.805,486398.0
2020-03-02,103.805,104.6472,103.2933,104.1339,424224.0
2020-03-03,104.1339,106.66,101.7898,104.3119,763402.0
2020-03-04,104.3119,104.7864,104.1507,104.6246,402454.0
2020-03-05,104.6246,107.1321,103.3122,105.8048,217011.0
2020-03-06,105.8048,107.5449,104.3929,106.1286,320842.0
2020-03-09,106.1286,108.4495,104.7569,107.0657,551544.0
