timestamp,open,high,low,close,volume
2020-01-01,100.0,103.5466,99.0473,102.5694,622727.0
2020-01-02,102.5694,104.585,99.5689,101.5648,227136.0
2020-01-03,101.5648,104.1114,97.565,100.0743,597025.0
2020-01-06,100.0743,101.1091,98.5151,99.5444,304395.0
2020-01-07,99.5444,99.729,97.8108,97.9925,286978.0
2020-01-08,97.9925,101.2206,96.8842,100.0885,434572.0
2020-01-09,100.0885,103.1368,98.3168,101.3429,231965.0
2020-01-10,101.3429,103.7227,99.9025,102.2691,374645.0
2020-01-13,102.2691,104.4103,102.1749,104.3142,426993.0
2020-01-14,104.3142,104.8734,102.9209,103.4755,610653.0
2020-01-15,103.4755,105.3194,99.8235,101.6346,487176.0
2020-01-16,101.6346,103.4904,100.3024,102.1513,296275.0
2020-01-17,102.1513,103.8712,100.9027,102.6169,284934.0
2020-01-20,102.6169,105.4907,98.5932,101.4339,471087.0
2020-01-21,101.4339,102.9736,100.6827,102.2167,296521.0
2020-01-22,102.2167,106.1996,100.4055,104.3506,333872.0
2020-01-23,104.3506,104.4123,103.5481,103.6093,504664.0
2020-01-24,103.6093,105.413,102.117,103.9163,401391.0
2020-01-27,103.9163,107.3505,101.0209,104.4405,527992.0
2020-01-28,104.4405,107.4697,102.1603,105.1735,186875.0
2020-01-29,105.1735,108.2354,103.663,106.703,273774.0
2020-01-30,106.703,107.9607,106.3501,107.6048,467929.0
2020-01-31,107.6048,111.2726,106.1032,109.7411,451754.0
2020-02-03,109.7411,110.2585,108.0323,108.5441,204408.0
2020-02-04,108.5441,110.39,106.03,107.8643,482243.0
2020-02-05,107.8643,112.0653,104.9582,109.1252,228523.0
2020-02-06,109.1252,109.795,107.8206,108.4865,217569.0
2020-02-07,108.4865,109.2579,106.9104,107.6761,588321.0
2020-02-10,107.6761,108.0423,107.2703,107.6363,322259.0
2020-02-11,107.6363,110.8538,104.9875,108.1913,564438.0
2020-02-12,108.1913,108.5452,107.1241,107.4757,382547.0
2020-02-13,107.4757,109.143,106.7302,108.3911,1103439.0
2020-02-14,108.3911,112.2469,106.702,110.5245,598004.0
2020-02-17,110.5245,111.7465,106.6604,107.8529,326038.0
2020-02-18,107.8529,108.8169,103.5816,104.5157,517040.0
2020-02-19,104.5157,105.64,104.5154,105.6396,235733.0
2020-02-20,105.6396,107.0439,103.1183,104.5075,594492.0
2020-02-21,104.5075,107.4233,103.7656,106.666,278649.0
2020-02-24,106.666,111.9107,105.8124,111.0222,361107.0
2020-02-25,111.0222,112.2559,109.6017,110.8333,754935.0
2020-02-26,110.8333,111.9872,109.1262,110.2744,556053.0
2020-02-27,110.2744,111.4353,109.1318,110.2926,256287.0
2020-02-28,110.2926,112.1691,108.882,110.7527,689867.0
2020-03-02,110.7527,111.4329,110.032,110.712,170428.0
2020-03-03,110.712,112.0068,108.0833,109.3624,593827.0
2020-03-04,109.3624,110.1906,109.1938,110.0208,751011.0
2020-03-05,110.0208,112.4087,104.6903,107.0128,497544.0
2020-03-06,107.0128,109.1345,105.5127,107.6258,407759.0
2020-03-09,107.6258,108.4683,106.9626,107.804,889295.0
2020-03-10,107.804,110.0898,107.5244,109.805,553988.0
2020-03-11,109.805,111.5981,108.2933,110.0826,579234.0
2020-03-12,110.0826,113.9763,106.9826,110.8545,291232.0
2020-03-13,110.8545,110.8937,109.4,109.4387,261746.0
2020-03-16,109.4387,112.3279,106.85,109.7323,379587.0
2020-03-17,109.7323,111.4909,109.1966,110.9493,327858.0
2020-03-18,110.9493,114.1096,109.4216,112.5598,441597.0
2020-03-19,112.5598,113.5847,111.7511,112.7746,357081.0
2020-03-20,112.7746,116.152,111.951,115.3099,612539.0
2020-03-23,115.3099,117.8302,114.8844,117.3969,875977.0
2020-03-24,117.3969,118.6048,115.174,116.3713,439188.0
